process_decay,operator,xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac,acc_unpolarised,acc_LL,acc_LT,acc_TL,acc_TT
osWW_lvlv,FM2odd,0.0390295832454272,91.41,4.09,4.54,0.026,6.001,6.19,4.545,4.371,5.823
osWW_lvlv,FM3,0.01956946315919979,99.666,0.155,0.174,0.004,5.956,5.96,4.752,5.307,3.469
osWW_lvlv,FM3odd,0.0053232786120064,42.568,25.803,33.854,0.285,4.883,3.904,6.074,6.199,6.154
osWW_lvlv,FM4,0.03977106289622062,91.777,4.109,4.102,0.016,6.119,6.291,4.681,4.702,3.083
osWW_lvlv,FM4odd,0.0186251885882176,66.817,15.034,19.154,0.032,5.433,5.833,4.451,5.064,3.609
osWW_lvlv,FM5,0.01852938265872589,63.799,17.784,18.419,0.031,5.752,5.936,5.375,5.554,2.236
osWW_lvlv,FM5odd,2.55,92.891,1.531,2.224,2.578,5.591,5.607,3.815,4.273,9.638
osWW_lvlv,FM6odd,0.06815,36.948,36.92,7.352,1.655,4.823,3.255,4.519,7.424,7.203
osWW_lvlv,FM7,0.015527525915188056,74.656,11.402,11.393,2.568,4.991,4.969,5.411,4.32,9.664
osWW_lvlv,FM8,0.005359201160398985,40.605,28.831,30.158,0.294,4.556,3.197,6.282,6.576,3.904
osWW_lvlv,FM9,0.07962513285121675,10.583,43.94,43.644,1.254,5.186,3.085,5.845,5.362,6.45
osWW_lvlv,FS0,0.0029488729092336913,99.332,0.324,0.341,0.004,9.728,9.745,7.407,8.134,5.281
osWW_lvlv,FS1,0.007577347970324691,99.768,0.11,0.116,0.007,10.757,10.765,8.318,8.286,6.313
osWW_lvlv,FS2,0.006390589809127939,99.758,0.118,0.118,0.007,10.904,10.913,8.284,8.109,6.375
osWW_lvlv,FT0,24.25440924104165,0.0,0.027,,99.973,5.336,4.474,3.211,,5.337
osWW_lvlv,FT1,8.905302566293837,0.0,0.046,,99.954,4.712,4.029,2.725,,4.714
osWW_lvlv,FT2,2.8496649703446684,0.0,0.035,,99.964,5.181,4.204,2.953,,5.182
osWW_lvlv,FT2odd,9.42262092155679,0.001,0.03,0.029,99.94,4.484,4.941,4.126,4.046,4.484
osWW_lvlv,FT3,2.3396643432877187,0.0,0.046,,99.953,4.975,3.833,2.883,,4.976
osWW_lvlv,FT3odd,9.51626106090733,0.0,0.028,0.03,99.941,4.641,3.351,4.094,4.429,4.641
osWW_lvlv,FT4,0.10660291563271772,0.0,0.025,,99.975,5.818,5.404,4.303,,5.818
osWW_lvlv,FT4odd,0.605168223262984,0.0,0.06,0.064,99.875,3.806,5.282,3.306,3.508,3.806
osWW_lvlv,FT5,2.3571258206549612,0.0,0.01,,99.989,5.958,4.756,4.644,,5.958
osWW_lvlv,FT5odd,229.2965291709141,0.0,0.029,0.032,99.939,4.865,4.817,3.337,4.019,4.866
osWW_lvlv,FT6,0.23854661753299017,0.001,0.047,,99.952,4.926,5.404,4.459,,4.926
osWW_lvlv,FT6odd,105.90737141775533,0.0,0.039,0.04,99.921,4.492,4.768,3.149,3.009,4.493
ssWW_lvlv,FM0,0.033185401340049464,0.219,99.179,,0.205,10.355,6.122,10.334,10.388,8.491
ssWW_lvlv,FM1,0.01369110767050901,0.091,100.589,,0.179,11.719,6.781,11.833,11.613,9.367
ssWW_lvlv,FM5odd,0.13098733843534624,0.109,101.568,,0.174,10.687,16.469,10.884,10.49,9.482
ssWW_lvlv,FM6odd,0.017351647151026044,0.028,103.653,,0.183,13.803,6.735,14.353,13.263,9.588
ssWW_lvlv,FM9,0.04130681835899425,0.018,100.818,,0.128,13.038,14.718,13.173,12.909,8.432
ssWW_lvlv,FS0,0.009136896306776684,99.837,0.194,,0.009,12.289,12.298,10.736,11.432,8.24
ssWW_lvlv,FS1,0.0011209360210831564,99.788,0.347,,0.006,11.134,11.16,8.993,9.453,8.534
ssWW_lvlv,FS2,0.0011209360210831564,99.788,0.347,,0.006,11.134,11.16,8.993,9.453,8.534
ssWW_lvlv,FT0,2.908656965799653,0.0,0.154,,100.102,14.601,11.159,8.696,8.299,14.654
ssWW_lvlv,FT1,11.783435847435252,0.0,0.055,,99.988,17.018,15.665,12.791,12.746,17.029
ssWW_lvlv,FT2,1.3436594804311253,0.0,0.077,,100.036,16.649,14.288,10.391,10.002,16.675
ssWW_lvlv,FT5odd,35.28263266679572,0.0,0.105,,100.013,15.444,14.779,10.283,10.557,15.471
ssWW_lvlv,FT6odd,118.61626256275969,0.0,0.055,,99.975,17.631,16.835,14.186,14.378,17.639
