process_decay,operator,xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac,acc_unpolarised,acc_LL,acc_LT,acc_TL,acc_TT
WZ_vvqq,FM9,0.16042824603841588,21.955,25.059,52.037,0.831,31.838,32.615,40.246,28.647,29.034
WZ_vvqq,FS0,0.004044093299863308,99.754,0.135,0.101,0.005,38.513,38.552,27.943,26.687,15.718
WZ_vvqq,FS1,0.0018312333201819279,99.264,0.423,0.303,0.003,35.131,35.19,29.569,27.11,14.735
WZ_vvqq,FS2,0.004044093299863308,99.754,0.135,0.101,0.005,38.513,38.552,27.943,26.687,15.718
WZ_vvqq,FT0,4.9300498857473745,0.0,0.124,0.145,99.726,30.181,18.52,27.542,23.888,30.195
WZ_vvqq,FT1,11.140710761702783,0.0,0.04,0.038,99.92,34.205,25.277,30.769,23.678,34.212
WZ_vvqq,FT2,1.321038476499091,0.0,0.056,0.06,99.881,33.628,23.636,27.955,23.029,33.64
WZ_vvqq,FT2odd,3.200576937982012,0.0,0.121,0.116,99.763,28.691,22.641,30.522,27.742,28.69
WZ_vvqq,FT3,2.4032247827189237,0.0,0.054,0.051,99.893,33.807,23.344,32.678,25.072,33.813
WZ_vvqq,FT3odd,3.2048365160676617,0.0,0.125,0.144,99.728,28.677,24.968,32.589,24.243,28.679
WZ_vvqq,FT4,0.221670134002745,0.001,0.088,0.081,99.83,30.048,21.015,32.78,23.773,30.052
WZ_vvqq,FT4odd,1.98904740808257,0.0,0.067,0.067,99.865,29.901,23.818,31.842,23.344,29.905
WZ_vvqq,FT5,0.8146780981318607,0.0,0.12,0.138,99.74,29.026,20.383,31.211,25.086,29.03
WZ_vvqq,FT5odd,56.01342513105036,0.0,0.104,0.114,99.782,29.734,26.07,32.176,26.927,29.735
WZ_vvqq,FT6,0.8779998681081004,0.001,0.071,0.065,99.863,30.339,22.491,31.154,22.443,30.345
WZ_vvqq,FT6odd,113.25685293861763,0.0,0.04,0.04,99.92,34.1,28.707,33.58,26.891,34.104
ZZ_llqq,FM0,0.215717411963619,94.257,2.421,2.575,0.735,24.581,25.251,16.254,17.122,20.45
ZZ_llqq,FM1,0.019623490289962114,72.419,11.563,15.204,0.691,21.867,23.553,16.174,20.314,19.754
ZZ_llqq,FM1odd,0.10704541198614932,92.208,3.486,3.742,0.552,20.926,21.417,15.764,16.649,20.123
ZZ_llqq,FM2,0.10645514302793652,92.663,3.254,3.53,0.545,22.109,22.77,15.318,16.47,20.299
ZZ_llqq,FM2odd,0.016271891711997676,75.502,10.564,10.737,3.199,20.507,22.163,16.213,16.267,20.241
ZZ_llqq,FM3,0.010440898391085267,65.298,14.975,19.126,0.461,20.189,21.87,15.85,19.159,18.996
ZZ_llqq,FM3odd,0.0009686936055882315,0.02,47.603,52.253,0.118,20.144,13.044,19.421,20.93,7.832
ZZ_llqq,FM4,0.01633447572914779,75.539,10.276,10.979,3.182,21.267,23.294,15.708,16.92,20.383
